size,invTridiag1,invTridiag2,invTridiag3,invTridiag4,invSymT2SS1,invSymT2SS2,invSymT2SS3,invSymT2SS4,invSymT2SSexp1,invSymT2SSexp2,invSymT2SSexp3,invSymT2SSexp4
100,2.3209914109208334e-15,2.321040442903636e-15,2.3209914109208333e-16,2.321040442903636e-16,NaN,NaN,NaN,NaN,4.662426835121173e-13,4.662426835121173e-13,4.662426835121173e-14,4.662426835121173e-14
200,3.2671990405573903e-15,3.2672284213208682e-15,2.3102585970643127e-16,2.310279372401404e-16,NaN,NaN,NaN,NaN,1.325346918591887e-12,1.325346918591887e-12,9.371617935610184e-14,9.371617935610184e-14
400,4.822783174981312e-15,4.822788477915997e-15,2.411391587490656e-16,2.4113942389579985e-16,NaN,NaN,NaN,NaN,4.460092081248998e-12,4.460092081248998e-12,2.230046040624499e-13,2.230046040624499e-13
800,6.1223607970574425e-15,6.122363675129062e-15,2.1645814182349967e-16,2.1645824357869761e-16,NaN,NaN,NaN,NaN,1.298101745176213e-11,1.298101745176213e-11,4.58948273342096e-13,4.58948273342096e-13
1600,9.216190837325609e-15,9.216191642392336e-15,2.304047709331402e-16,2.304047910598084e-16,NaN,NaN,NaN,NaN,4.0413574057794005e-11,4.0413574057794005e-11,1.0103393514448502e-12,1.0103393514448502e-12
3200,1.257300082202787e-14,1.2573001056411542e-14,2.222613535279986e-16,2.2226135767135566e-16,NaN,NaN,NaN,NaN,1.1730942939386854e-10,1.1730942939386854e-10,2.073757325538224e-12,2.073757325538224e-12
6400,1.75604859884716e-14,1.7560486061486868e-14,2.19506074855895e-16,2.1950607576858586e-16,NaN,NaN,NaN,NaN,3.473548408719413e-10,3.473548408719413e-10,4.341935510899267e-12,4.341935510899267e-12
12800,2.405138751521552e-14,2.405138753943393e-14,2.125862401119295e-16,2.1258624032599204e-16,NaN,NaN,NaN,NaN,1.0187776834582325e-9,1.0187776834582325e-9,9.004807606185477e-12,9.004807606185477e-12
