size,solverCholesky1,solverCholesky2,solverTxbexp1,solverTxbexp2
100,1.0828291368085207e-15,1.8396189984512766e-16,2.3057125561898505e-13,3.882737959922275e-14
200,1.1174218274494163e-15,1.4003433740348278e-16,9.218612958957098e-13,1.1334415221298824e-13
400,1.959898661398177e-15,1.675059155751905e-16,3.013044386318054e-12,2.6431419930244957e-13
800,2.427137599159921e-15,1.4774138741373075e-16,9.060827026285276e-12,5.563536849265778e-13
1600,3.8550402037282635e-15,1.687230276931423e-16,2.4775112103083697e-11,1.0864508474682358e-12
3200,4.8740587618341335e-15,1.487366295098195e-16,7.832074966366222e-11,2.387863669174406e-12
6400,7.605524525147866e-15,1.6544110367438125e-16,2.2790897746523645e-10,4.9671137724250526e-12
12800,9.712809277860467e-15,1.4789126161762125e-16,6.666114339272638e-10,1.0220354786379761e-11
