size,invBanded1,invBanded2,invBanded3,invBanded4,invBidiagU1,invBidiagU2,invBidiagU3,invBidiagU4,invBiUexp1,invBiUexp2,invBiUexp3,invBiUexp4
100,5.207538861429673e-16,5.207773271531989e-16,5.2075388614296725e-17,5.2077732715319894e-17,8.233819540978043e-16,8.233931786313572e-16,8.233819540978043e-17,8.233931786313572e-17,1.3039065162994348e-13,1.3038859086992246e-13,1.3039065162994347e-14,1.3038859086992246e-14
200,6.843932616520297e-16,6.84402548939749e-16,4.839391163125293e-17,4.839456834166545e-17,NaN,NaN,NaN,NaN,4.724998053692956e-13,4.724999181310741e-13,3.341078164859528e-14,3.34107896220571e-14
400,9.420573190042174e-16,9.42060243981844e-16,4.710286595021087e-17,4.71030121990922e-17,NaN,NaN,NaN,NaN,1.6365746833621324e-12,1.636575178669985e-12,8.182873416810662e-14,8.182875893349925e-14
800,1.336886169956792e-15,1.3368875454844258e-15,4.726606382254794e-17,4.7266112454793826e-17,NaN,NaN,NaN,NaN,4.845908315352027e-12,4.845907990002424e-12,1.7132873153968483e-13,1.7132872003683932e-13
1600,1.9003959266911097e-15,1.9003964852000754e-15,4.7509898167277743e-17,4.7509912130001886e-17,NaN,NaN,NaN,NaN,1.4110085996376747e-11,1.4110085848895012e-11,3.527521499094187e-13,3.527521462223753e-13
3200,2.641304424424796e-15,2.641304581628599e-15,4.66921067422201e-17,4.669210952121698e-17,NaN,NaN,NaN,NaN,4.2964320823029263e-11,4.296432083489594e-11,7.595090650759595e-13,7.595090652857346e-13
6400,3.857126370985039e-15,3.85712643172984e-15,4.821407963731299e-17,4.8214080396622996e-17,NaN,NaN,NaN,NaN,1.240968825076978e-10,1.240968824699439e-10,1.5512110313462226e-12,1.5512110308742988e-12
12800,5.318652002847331e-15,5.318652021458375e-15,4.7010686224809506e-17,4.701068638930945e-17,NaN,NaN,NaN,NaN,3.8541266405588107e-10,3.854126640546748e-10,3.406598853863578e-12,3.4065988538529158e-12
