size,invBanded1,invBanded2,invBanded3,invBanded4,invSymT2SS1,invSymT2SS2,invSymT2SS3,invSymT2SS4,invSymT2SSexp1,invSymT2SSexp2,invSymT2SSexp3,invSymT2SSexp4
100,2.184224096804614e-15,2.184262738824278e-15,2.1842240968046138e-16,2.1842627388242782e-16,NaN,NaN,NaN,NaN,3.753889726374474e-13,3.753889726374474e-13,3.753889726374474e-14,3.753889726374474e-14
200,2.8823619483536357e-15,2.8823765615263882e-15,2.038137679514925e-16,2.038148012588473e-16,NaN,NaN,NaN,NaN,1.3454286595469235e-12,1.3454286595469235e-12,9.513617287683564e-14,9.513617287683564e-14
400,4.266800242236106e-15,4.266806759194237e-15,2.1334001211180528e-16,2.1334033795971187e-16,NaN,NaN,NaN,NaN,4.417305880759489e-12,4.417305880759488e-12,2.2086529403797445e-13,2.208652940379744e-13
800,6.286260848525897e-15,6.286263232928242e-15,2.222528837150081e-16,2.2225296801636145e-16,NaN,NaN,NaN,NaN,1.3358031567106328e-11,1.3358031567106327e-11,4.722777352202425e-13,4.722777352202424e-13
1600,8.555925815378083e-15,8.555926614466739e-15,2.1389814538445208e-16,2.1389816536166846e-16,NaN,NaN,NaN,NaN,4.065083104525623e-11,4.065083104525623e-11,1.0162707761314059e-12,1.0162707761314059e-12
3200,1.2220021455902432e-14,1.222002172968435e-14,2.1602150094284291e-16,2.1602150578266917e-16,NaN,NaN,NaN,NaN,1.2020128292223714e-10,1.2020128292223714e-10,2.124878556540916e-12,2.124878556540916e-12
6400,1.6617038802925932e-14,1.6617038875956494e-14,2.0771298503657414e-16,2.0771298594945618e-16,NaN,NaN,NaN,NaN,3.4739941373402115e-10,3.4739941373402115e-10,4.3424926716752646e-12,4.3424926716752646e-12
12800,2.3076086488490667e-14,2.307608651364907e-14,2.039657154907377e-16,2.0396571571310866e-16,NaN,NaN,NaN,NaN,1.0256145984111953e-9,1.0256145984111953e-9,9.065237967755923e-12,9.065237967755923e-12
