size,invTridiag1,invTridiag2,invSymT2SS1,invSymT2SS2,invSymT2SSexp1,invSymT2SSexp2
100,1.3263342213773005e-15,2.2567964259171067e-16,NaN,NaN,2.2417818235209808e-13,3.901604230218349e-14
200,2.223009427729028e-15,2.7394756962215775e-16,NaN,NaN,8.474863091299565e-13,9.609103755571557e-14
400,2.8185332087640568e-15,2.4038936703605336e-16,NaN,NaN,2.5753253928142055e-12,2.2556564167573294e-13
800,3.622169551078982e-15,2.2904244211383427e-16,NaN,NaN,7.506302885068248e-12,4.4823402768271485e-13
1600,5.424369682010394e-15,2.2948887254654793e-16,NaN,NaN,2.2772001076782534e-11,9.869933774254698e-13
3200,7.785411824884991e-15,2.378297664406107e-16,NaN,NaN,6.791310363377828e-11,2.086763471979384e-12
6400,1.0440271154288113e-14,2.2608251941009973e-16,NaN,NaN,2.036494595981719e-10,4.409220969069343e-12
12800,1.449020099013936e-14,2.220638044488413e-16,NaN,NaN,5.849137684788047e-10,8.96828180617315e-12
