size,inv1,inv2,invBidiagU1,invBidiagU2,invBiUexp1,invBiUexp2
100,8.661118365077505e-16,1.423927656363366e-16,8.097498914039982e-16,1.3782157006292445e-16,8.175893022285981e-14,1.3850869752545864e-14
200,1.2570331070174903e-15,1.5152976988150144e-16,NaN,NaN,2.9822175539915156e-13,3.592895806027601e-14
400,1.5473385930759602e-15,1.3370222808758817e-16,NaN,NaN,9.439092534277558e-13,8.036968202284281e-14
800,2.095483148582308e-15,1.2843240497997265e-16,NaN,NaN,2.9723495766767304e-12,1.8262590834472089e-13
1600,3.0057367938531804e-15,1.2788730130440617e-16,NaN,NaN,8.372944826167516e-12,3.672118661642965e-13
3200,4.088154322546549e-15,1.25229748518126e-16,NaN,NaN,2.392225217992129e-11,7.351434314312134e-13
6400,5.630164630745985e-15,1.2328505476943798e-16,NaN,NaN,7.155089318507377e-11,1.549799048962715e-12
12800,7.803044937044943e-15,1.195775804197998e-16,NaN,NaN,2.2414843448917945e-10,3.4198089249662535e-12
