size,invBanded1,invBanded2,invSymT2SS1,invSymT2SS2,invSymT2SSexp1,invSymT2SSexp2
100,1.3319807368354086e-15,2.491050568442749e-16,NaN,NaN,2.0265095435456043e-13,3.674638487626841e-14
200,1.8727312114425483e-15,2.2625467632344223e-16,NaN,NaN,6.632673412101198e-13,8.291637612575257e-14
400,2.7299688920520878e-15,2.353285002010398e-16,NaN,NaN,2.4429209899731053e-12,2.108944244158832e-13
800,3.6701246371905615e-15,2.2747931250192144e-16,NaN,NaN,7.55911680228701e-12,4.705541992988754e-13
1600,5.375589573536522e-15,2.3193296360210886e-16,NaN,NaN,2.2961070189053487e-11,9.982211832824852e-13
3200,7.577679626319408e-15,2.312530118604622e-16,NaN,NaN,6.830176246779425e-11,2.1031921429474396e-12
6400,1.03077024138842e-14,2.218160791613076e-16,NaN,NaN,2.0689419507166105e-10,4.426470256667112e-12
12800,1.4080298645234444e-14,2.157790177270558e-16,NaN,NaN,5.878230894706672e-10,8.997092439567234e-12
