size,invBanded1,invBanded2,invBidiagU1,invBidiagU2,invBiUexp1,invBiUexp2
100,7.222369946591121e-16,1.2878801374384985e-16,9.360573341584055e-16,1.7060440822128318e-16,9.54053221740625e-14,1.6336215581166065e-14
200,1.1684261097638628e-15,1.3671394982997716e-16,NaN,NaN,2.8166844801011436e-13,3.5679724691865135e-14
400,1.6112940977490182e-15,1.4023064686901476e-16,NaN,NaN,9.219359285352032e-13,7.969855494345742e-14
800,2.0973637783150167e-15,1.2872591032018348e-16,NaN,NaN,2.866688768887993e-12,1.7310110405552697e-13
1600,2.8921743506972432e-15,1.2534105279151767e-16,NaN,NaN,8.832304546714603e-12,3.7684510319679947e-13
3200,4.177520455086762e-15,1.2692729433833043e-16,NaN,NaN,2.5039904560384277e-11,7.595042522777852e-13
6400,5.641594425858387e-15,1.2176983956859804e-16,NaN,NaN,7.186611262334139e-11,1.559097551420944e-12
12800,7.867558338757168e-15,1.206899125657517e-16,NaN,NaN,2.182068747215838e-10,3.3573404981165305e-12
