size,inv1,inv2,inv3,inv4,invBidiagU1,invBidiagU2,invBidiagU3,invBidiagU4,invBiUexp1,invBiUexp2,invBiUexp3,invBiUexp4
100,5.087715280150028e-16,5.088135263447997e-16,5.087715280150028e-17,5.088135263447997e-17,8.882019696540022e-16,8.882115273281788e-16,8.882019696540023e-17,8.882115273281788e-17,1.8056622848384316e-13,1.8056735871701988e-13,1.8056622848384316e-14,1.8056735871701986e-14
200,7.108913882390699e-16,7.109066968799878e-16,5.02676121310965e-17,5.026869461547688e-17,NaN,NaN,NaN,NaN,4.685474531687107e-13,4.685481263904013e-13,3.3131308144328165e-14,3.3131355748290435e-14
400,9.992012106828642e-16,9.992066933955704e-16,4.996006053414321e-17,4.996033466977852e-17,NaN,NaN,NaN,NaN,1.6203098347379485e-12,1.6203094908268307e-12,8.101549173689743e-14,8.101547454134153e-14
800,1.2262816674521167e-15,1.2262838220714939e-15,4.3355604135006924e-17,4.335568031230555e-17,NaN,NaN,NaN,NaN,4.8563648074842915e-12,4.856365101383895e-12,1.7169842436439224e-13,1.7169843475531239e-13
1600,1.903636023140278e-15,1.9036367346003758e-15,4.759090057850695e-17,4.75909183650094e-17,NaN,NaN,NaN,NaN,1.4694913022014513e-11,1.4694913233858137e-11,3.6737282555036283e-13,3.673728308464534e-13
3200,2.6506211709928783e-15,2.6506214378776094e-15,4.685680510914229e-17,4.6856809827042364e-17,NaN,NaN,NaN,NaN,4.319870640759423e-11,4.319870644396875e-11,7.636524559824159e-13,7.636524566254329e-13
6400,3.77965316283538e-15,3.7796532565480646e-15,4.724566453544225e-17,4.724566570685081e-17,NaN,NaN,NaN,NaN,1.25394167582286e-10,1.2539416755632973e-10,1.5674270947785751e-12,1.5674270944541216e-12
12800,5.350998571265172e-15,5.350998603496985e-15,4.729659219826413e-17,4.7296592483155795e-17,NaN,NaN,NaN,NaN,3.8112630830263015e-10,3.8112630827467134e-10,3.368712463617307e-12,3.3687124633701834e-12
