size,inv,invBidiagU,invBiUexp
4,3.775312500000001e-7,5.1046875e-7,9.804687499999997e-7
8,5.274375000000003e-7,3.6321874999999996e-7,6.379999999999999e-7
16,1.7057499999999993e-6,1.36584375e-6,1.622375e-6
32,5.597625e-6,2.35409375e-6,4.17325e-6
64,2.252478125e-5,4.742124999999999e-6,1.18241875e-5
128,0.00011979953125000001,2.2846375e-5,4.973690625000002e-5
256,0.0012425286250000002,0.00011235165625,0.00021132428125000005
512,0.0039105494375,0.0007111991874999999,0.00090484496875
1024,0.027789632749999998,0.0035269154375000005,0.0036943268125000013
