size,inv,invBidiagU,invBiUexp
4,3.3074999999999986e-7,7.995000000000003e-7,1.7239375e-6
8,3.175625e-7,7.785625e-7,1.585875e-6
16,1.0442499999999998e-6,2.2890624999999997e-6,4.38025e-6
32,4.981875e-6,6.140624999999999e-6,1.1901124999999997e-5
64,2.6122500000000003e-5,2.1627499999999996e-5,4.46615e-5
128,0.0006068803750000001,9.280462499999998e-5,0.00018820574999999998
256,0.00043624743749999995,0.00041469543749999996,0.0008905469374999999
