size,invBanded,invBidiagU,invBiUexp
100,7.86145625e-5,1.4007812500000003e-5,3.2184874999999996e-5
200,0.000281393375,4.5208562499999993e-5,0.0014376588125
400,0.0009855494375,0.0001852109375,0.0006432681875000001
800,0.0037612109374999996,0.0011202471874999997,0.002168945375
1600,0.012872367187499999,0.004282382812499999,0.008359718687499998
3200,0.0490786225,0.017314145812499997,0.0343040834375
6400,0.187747989625,0.1112256926875,0.2027233334375
12800,0.7477370155625,0.4798379374375001,0.7487684480625
