size,inv,invBidiagU
16,1.9036875000000003e-6,1.286375e-6
32,5.1900625e-6,1.7370000000000003e-6
64,2.4054687500000004e-5,4.0e-6
128,0.00011494543750000002,2.12890625e-5
256,0.0006393178125000001,0.00011014587499999998
512,0.004220231687500001,0.0010617708125
