size,inv,invBidiagU,invBiUexp
100,5.9084e-5,8.8125e-5,0.000200375
200,0.000234,0.0003095,0.000618042
400,0.001016708,0.001198167,0.002685375
800,0.004080875,0.005333,0.01337275
1600,0.016452042,0.023135625,0.05040875
3200,0.101112,0.173678417,0.288860708
6400,0.298383125,0.475319667,0.994617208
12800,1.156325917,2.166773541,4.387641417
25600,4.688326583,9.892587292,19.534443916
51200,22.242504042,47.105397209,95.784611584
