size,inv,invBidiagU,invBiUexp
4,1.4834e-6,4.790999999999998e-7,1.2541e-6
8,0.00046583750000000004,3.0e-7,9.166e-7
16,2.1041e-6,8.167000000000002e-7,1.8542e-6
32,5.3875000000000005e-6,3.2998999999999995e-6,4.8583e-6
64,2.7787599999999998e-5,9.7375e-6,1.5533400000000003e-5
128,0.0001364332,2.1275e-5,5.7454199999999996e-5
256,0.000654021,0.00011478760000000001,0.00020855399999999998
512,0.0040961999999999995,0.0079930707,0.0008686375999999999
1024,0.027944925000000002,0.0031830166999999993,0.0040023083
