size,inv,invBidiagU,invBiUexp
16,1.3633125e-6,6.796874999999997e-7,1.36196875e-6
32,4.634125e-6,1.29821875e-6,3.4049374999999994e-6
64,2.10676875e-5,4.15103125e-6,1.19361875e-5
128,0.00011323690625000001,1.7792875000000002e-5,4.9272124999999994e-5
256,0.0006251015624999999,0.00010046225,0.0002067447500000001
512,0.004163990906249999,0.0006504256874999999,0.0008484505937499998
1024,0.029826121062500006,0.003597598875,0.0037643215
2048,0.2033574088125,0.017813682218749998,0.0139494401875
4096,1.5395305325000002,0.06606931509375001,0.0856696198125
